number,value,datetime_start,datetime_complete,duration,params_alpha,params_depth,params_dropout,params_hidden_size,params_learning_rate,params_weight_decay,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,state
24,1.2230819014557284,2025-04-24 17:28:38.047175,2025-04-24 17:36:10.611704,0 days 00:07:32.564529,0.7,6,0.4,256,0.004477313054281981,7.635268713862805e-06,1.2230819014557284,,,PRUNED
25,2.112253291050591,2025-04-24 17:29:47.240055,2025-04-24 17:31:29.606169,0 days 00:01:42.366114,0.7,6,0.4,256,0.003952105539454583,9.486103258538928e-06,2.112253291050591,,,PRUNED
26,1.506799152399843,2025-04-24 17:31:29.606169,2025-04-24 17:35:03.334632,0 days 00:03:33.728463,0.7,7,0.4,256,0.005099146207137085,5.351317280769593e-06,1.8690524831059583,1.506799152399843,,PRUNED
27,2.0144298115766306,2025-04-24 17:33:51.312369,2025-04-24 17:35:21.982006,0 days 00:01:30.669637,0.4,5,0.30000000000000004,64,0.002242127085348478,5.355326848154233e-06,2.0144298115766306,,,PRUNED
28,1.0831089874624567,2025-04-24 17:34:26.682481,2025-04-24 17:39:04.306323,0 days 00:04:37.623842,0.3,4,0.2,64,0.0024722306025511654,5.830625186225355e-06,1.0831089874624567,,,COMPLETE
29,1.1535326318651034,2025-04-24 17:35:03.351227,2025-04-24 17:39:38.525260,0 days 00:04:35.174033,0.3,4,0.2,64,0.0020903780894248884,1.499523926150667e-06,1.1535326318651034,,,COMPLETE
30,1.1138261418803075,2025-04-24 17:35:21.982006,2025-04-24 17:40:11.434208,0 days 00:04:49.452202,0.3,4,0.2,64,0.0022276731779734106,1.3939912132623235e-06,1.4207993922337265,1.1138261418803075,,PRUNED
31,1.376847430304776,2025-04-24 17:36:10.629143,2025-04-24 17:37:47.364759,0 days 00:01:36.735616,0.3,4,0.2,64,0.002112662489395756,1.650004658865919e-06,1.7023858514225048,1.376847430304776,,PRUNED
32,2.0737832983001474,2025-04-24 17:37:47.380383,2025-04-24 17:38:36.801910,0 days 00:00:49.421527,0.5,4,0.2,64,0.00110416475894459,1.5751435354314979e-06,2.0737832983001474,,,PRUNED
33,1.3688787264185007,2025-04-24 17:38:36.813932,2025-04-24 17:40:09.984225,0 days 00:01:33.170293,0.5,5,0.2,64,0.006576133100810712,1.5842693972658166e-05,1.6369396942174024,1.3688787264185007,,PRUNED
34,1.5335773578976968,2025-04-24 17:39:04.314325,2025-04-24 17:40:40.889602,0 days 00:01:36.575277,0.3,4,0.2,64,0.002156878288525855,1.8555403794689344e-05,1.5335773578976968,,,PRUNED
35,1.4549033494238583,2025-04-24 17:39:38.542242,2025-04-24 17:41:16.821928,0 days 00:01:38.279686,0.3,3,0.2,64,0.006595684891917997,1.8710151932231582e-05,1.7111065126823746,1.4549033494238583,,PRUNED
36,1.5214397314523238,2025-04-24 17:40:09.991504,2025-04-24 17:41:30.129582,0 days 00:01:20.138078,0.3,3,0.2,64,0.0018404305486516331,6.791130653916755e-06,1.5214397314523238,,,PRUNED
37,1.619376077495975,2025-04-24 17:40:11.439495,2025-04-24 17:41:44.970892,0 days 00:01:33.531397,0.3,3,0.2,64,0.0017471264240605544,8.370150729899243e-06,1.619376077495975,,,PRUNED
38,1.4421755921571633,2025-04-24 17:40:40.898604,2025-04-24 17:41:48.679041,0 days 00:01:07.780437,0.3,3,0.2,64,0.0015094886574263642,8.08512266089565e-06,1.7578423298910963,1.4421755921571633,,PRUNED
39,1.204905743212556,2025-04-24 17:41:16.821928,2025-04-24 17:42:25.759371,0 days 00:01:08.937443,0.3,3,0.30000000000000004,64,0.0017318508140014067,7.396781362339521e-06,1.204905743212556,,,PRUNED
